id;broj_fakture;datum_izdavanja;datum_valute;ukupna_osnovica;ukupan_rabat;ukupan_iznos;status
1;Ferry;2022-07-12;2022-07-13;57202;72418;15110;POSLATA
2;expedite Administrator Configuration;2022-07-13;2022-07-13;29682;16792;86879;FORMIRANJE
3;azure override;2022-07-13;2022-07-12;31382;61250;98676;FORMIRANJE
4;Games architectures;2022-07-13;2022-07-12;29311;20231;29747;PONISTENA
5;Keyboard;2022-07-12;2022-07-13;85433;53824;90968;POSLATA
6;Intelligent Samoa Market;2022-07-12;2022-07-13;87945;44636;40996;POSLATA
7;Plastic Account De-engineered;2022-07-13;2022-07-13;75302;37938;26323;PONISTENA
8;Marketing;2022-07-13;2022-07-13;49536;2616;21558;POSLATA
9;withdrawal Vision-oriented Account;2022-07-12;2022-07-13;75736;6329;56266;PONISTENA
10;markets Wooden primary;2022-07-12;2022-07-13;15813;26331;47072;FORMIRANJE
