id;pib;mib;naziv;adresa;telefon
1;lime Principal;Movies Monitored;Applications Rustic system-worthy;South;web-enabled
2;Quality vortals Outdoors;Human transmit;Wooden alarm;parse Credit secondary;Saint Assurance
3;Illinois Fish;Mission incremental Lead;quantifying;Illinois 1080p;Engineer SSL fuchsia
4;Strategist haptic;invoice Union;microchip invoice;applications Plastic Generic;calculating
5;Fully-configurable Usability;connecting;asymmetric;optimal;reboot
6;Pass;migration bricks-and-clicks monitor;application;Loan Bedfordshire;Bedfordshire
7;Direct Customer morph;value-added Enhanced;Metal Washington Communications;loyalty Enhanced Wells;Music
8;parse;back-end Vision-oriented relationships;Nevis Cliffs Wooden;Soft functionalities;seamless
9;Fantastic bluetooth Ergonomic;Buckinghamshire bypassing next-generation;Denmark Pizza;input Small;Alaska
10;AGP Hungary Arkansas;Krona;virtual;China Market alarm;Handmade
