id;pib;naziv;adresa
1;Rupee;Account structure SDD;deposit methodology Cheese
2;Rubber;lime Buckinghamshire Chips;Integration payment
3;Shoes Factors;stable Coordinator cross-platform;workforce Handcrafted Nevada
4;systematic;vertical Dollar;Creative Wooden
5;Personal Vista Carolina;Georgia;Nebraska Mill Chair
6;Missouri users;Turkey;incremental Automotive Colon
7;Cheese Fresh lime;teal Future;Cotton Beauty
8;Fresh Horizontal Spurs;transparent;Jewelery copy
9;Card;relationships transmitter;salmon
10;Loan indigo;Small;wireless HDD
